A0A345ARL4|label=PF13479.12-281-483|priority=2600	A0A345ARL4|label=PF13479.12-281-483|priority=2600
E0VRA6|label=PF13401.12-79-207|priority=6122	E0VRA6|label=PF13401.12-79-207|priority=6122
A0A1A7KFG1|label=PF13401.12-85-207|priority=6123	A0A1A7KFG1|label=PF13401.12-85-207|priority=6123
A0A0P7BRG1|label=PF13401.12-37-164|priority=6124	A0A0P7BRG1|label=PF13401.12-37-164|priority=6124
T2G795|label=PF13401.12-41-177|priority=6125	T2G795|label=PF13401.12-41-177|priority=6125
A0A4S5BPN9|label=PF13401.12-44-181|priority=6126	A0A4S5BPN9|label=PF13401.12-44-181|priority=6126
A0A173WWI9|label=PF13401.12-39-181|priority=6127	A0A173WWI9|label=PF13401.12-39-181|priority=6127
A0A2T5MCK5|label=PF13401.12-110-280|priority=6128	A0A2T5MCK5|label=PF13401.12-110-280|priority=6128
A0A7L0HBQ1|label=PF13401.12-19-172|priority=6129	A0A7L0HBQ1|label=PF13401.12-19-172|priority=6129
A0A5N5JSF2|label=PF13401.12-138-275|priority=6130	A0A5N5JSF2|label=PF13401.12-138-275|priority=6130
A0A1B4XDG5|label=PF13401.12-39-170|priority=6131	A0A1B4XDG5|label=PF13401.12-39-170|priority=6131
A0A928YWY9|label=PF13401.12-39-171|priority=6132	A0A928YWY9|label=PF13401.12-39-171|priority=6132
A0A928YWY9|label=PF13401.12-39-171|priority=6132	A0A1G6ZPP3|label=PF13401.12-39-175|priority=6134
A0A0C3D1P2|label=PF13401.12-174-306|priority=6133	A0A0C3D1P2|label=PF13401.12-174-306|priority=6133
A0A0C3D1P2|label=PF13401.12-174-306|priority=6133	A0A8E2DNI9|label=PF13401.12-180-314|priority=2576
A0A117RTJ4|label=PF13401.12-48-182|priority=6136	A0A117RTJ4|label=PF13401.12-48-182|priority=6136
A0A0C7N8Z0|label=PF13476.12-6-373|priority=6140	A0A0C7N8Z0|label=PF13476.12-6-373|priority=6140
A0A8S1LCW5|label=PF13476.12-6-257|priority=6141	A0A8S1LCW5|label=PF13476.12-6-257|priority=6141
A0A8R2JQB2|label=PF13476.12-6-243|priority=6142	A0A8R2JQB2|label=PF13476.12-6-243|priority=6142
A0A8R2JQB2|label=PF13476.12-6-243|priority=6142	A0A5E4PZT5|label=PF13476.12-6-296|priority=2585
A0A5Q0P1B4|label=PF13476.12-2-69|priority=6143	A0A5Q0P1B4|label=PF13476.12-2-69|priority=6143
A0A5Q0P1B4|label=PF13476.12-2-69|priority=6143	A0A3B0B5Z6|label=PF13304.12-102-206|priority=2546
A0A5Q0P1B4|label=PF13476.12-2-69|priority=6143	A0A126YZM5|label=PF13304.12-60-190|priority=6105
A0A5Q0P1B4|label=PF13476.12-2-69|priority=6143	A0A2P4UIG4|label=PF13304.12-69-199|priority=2557
A0A5Q0P1B4|label=PF13476.12-2-69|priority=6143	A0A8J4H2B6|label=PF13476.12-22-117|priority=6152
A0A5Q0P1B4|label=PF13476.12-2-69|priority=6143	A0A1G7Z8D0|label=PF13476.12-24-65|priority=6156
A0A5Q0P1B4|label=PF13476.12-2-69|priority=6143	A0A934NTN4|label=PF13476.12-32-130|priority=6154
A0A5Q0P1B4|label=PF13476.12-2-69|priority=6143	A0A934QC58|label=PF13476.12-31-114|priority=6138
A0A2P7EEE4|label=PF13476.12-6-299|priority=6144	A0A2P7EEE4|label=PF13476.12-6-299|priority=6144
A0A143H9K4|label=PF13476.12-6-317|priority=6145	A0A143H9K4|label=PF13476.12-6-317|priority=6145
A0A7K9ZI65|label=PF13476.12-6-263|priority=6147	A0A7K9ZI65|label=PF13476.12-6-263|priority=6147
W8BLT3|label=PF13476.12-25-274|priority=6149	W8BLT3|label=PF13476.12-25-274|priority=6149
W8BLT3|label=PF13476.12-25-274|priority=6149	A0A8C0LW35|label=PF13476.12-59-268|priority=2588
A0A0B5DH04|label=PF13476.12-5-200|priority=6150	A0A0B5DH04|label=PF13476.12-5-200|priority=6150
F0LKK5|label=PF13476.12-1-221|priority=6151	F0LKK5|label=PF13476.12-1-221|priority=6151
A0A8J5NBN1|label=PF13476.12-15-231|priority=6153	A0A8J5NBN1|label=PF13476.12-15-231|priority=6153
A0A8T4JXT0|label=PF13476.12-5-188|priority=6155	A0A8T4JXT0|label=PF13476.12-5-188|priority=6155
F9UQX9|label=PF13479.12-12-201|priority=6158	F9UQX9|label=PF13479.12-12-201|priority=6158
A0A3A9T4W9|label=PF13479.12-11-221|priority=6159	A0A3A9T4W9|label=PF13479.12-11-221|priority=6159
A0A3A9T4W9|label=PF13479.12-11-221|priority=6159	A0A0J1FS56|label=PF13479.12-13-225|priority=2605
A0A3A9T4W9|label=PF13479.12-11-221|priority=6159	F3BAF8|label=PF13479.12-10-222|priority=6172
A0A1M5XJJ1|label=PF13479.12-14-210|priority=6160	A0A1M5XJJ1|label=PF13479.12-14-210|priority=6160
A0A858NQI7|label=PF13479.12-14-179|priority=6162	A0A858NQI7|label=PF13479.12-14-179|priority=6162
A0A257JIC5|label=PF13479.12-15-85|priority=6165	A0A257JIC5|label=PF13479.12-15-85|priority=6165
A0A2Z2KFD6|label=PF13479.12-19-214|priority=6166	A0A2Z2KFD6|label=PF13479.12-19-214|priority=6166
A0A222ZI59|label=PF13479.12-15-218|priority=6167	A0A222ZI59|label=PF13479.12-15-218|priority=6167
A0A2Z3HAK5|label=PF13479.12-14-236|priority=6169	A0A2Z3HAK5|label=PF13479.12-14-236|priority=6169
A0A1W6JQH5|label=PF13479.12-14-212|priority=6170	A0A1W6JQH5|label=PF13479.12-14-212|priority=6170
A0A1W6JQH5|label=PF13479.12-14-212|priority=6170	A0A2I6QQZ3|label=PF13479.12-12-211|priority=6164
A0A1W6JQH5|label=PF13479.12-14-212|priority=6170	A0A3S7W9J0|label=PF13479.12-13-208|priority=6168
A0A1W6JQH5|label=PF13479.12-14-212|priority=6170	A0A3G8F8Q0|label=PF13479.12-13-208|priority=6157
V6SD16|label=PF13479.12-11-227|priority=6173	V6SD16|label=PF13479.12-11-227|priority=6173
V6SD16|label=PF13479.12-11-227|priority=6173	A0A5J4IX58|label=PF13479.12-12-232|priority=2607
A0A8F3EA82|label=PF13479.12-49-270|priority=6175	A0A8F3EA82|label=PF13479.12-49-270|priority=6175
A0A0K1LL44|label=PF13479.12-17-206|priority=6176	A0A0K1LL44|label=PF13479.12-17-206|priority=6176
A0A0K1LL44|label=PF13479.12-17-206|priority=6176	A0A0N9SJD0|label=PF13479.12-15-206|priority=6171
A0A0K1LL44|label=PF13479.12-17-206|priority=6176	A0A8E5UWN6|label=PF13479.12-14-199|priority=2610
A0A0K1LL44|label=PF13479.12-17-206|priority=6176	A0A6M3YN94|label=PF13479.12-15-219|priority=2595
G1RXP1|label=PF13481.12-369-558|priority=6178	G1RXP1|label=PF13481.12-369-558|priority=6178
A0A411AWB4|label=PF13481.12-160-351|priority=6179	A0A411AWB4|label=PF13481.12-160-351|priority=6179
A0A1G5H6S9|label=PF13481.12-3-180|priority=6183	A0A1G5H6S9|label=PF13481.12-3-180|priority=6183
A0A1G7ZJ73|label=PF13481.12-338-501|priority=6186	A0A1G7ZJ73|label=PF13481.12-338-501|priority=6186
A0A1G7ZJ73|label=PF13481.12-338-501|priority=6186	A0A8J2VQZ7|label=PF13481.12-327-501|priority=6182
A0A416JFA0|label=PF13481.12-300-479|priority=6187	A0A416JFA0|label=PF13481.12-300-479|priority=6187
A0A416JFA0|label=PF13481.12-300-479|priority=6187	C7H3I1|label=PF13481.12-303-482|priority=2616
S4SI97|label=PF13481.12-323-506|priority=6188	S4SI97|label=PF13481.12-323-506|priority=6188
A0A4R9EWU5|label=PF13481.12-153-344|priority=6194	A0A4R9EWU5|label=PF13481.12-153-344|priority=6194
A0A6P4BYY2|label=PF13500.12-129-283|priority=6198	A0A6P4BYY2|label=PF13500.12-129-283|priority=6198
A0A6P4BYY2|label=PF13500.12-129-283|priority=6198	C1E864|label=PF13500.12-66-130|priority=2635
A0A6P4BYY2|label=PF13500.12-129-283|priority=6198	K9GFX1|label=PF13500.12-13-207|priority=2641
A0A6P4BYY2|label=PF13500.12-129-283|priority=6198	A0A165FMJ2|label=PF13500.12-9-213|priority=6207
F7NIN9|label=PF13291.12-1-70|priority=13702	F7NIN9|label=PF13291.12-1-70|priority=13702
A0A942J306|label=PF13291.12-140-217|priority=13706	A0A942J306|label=PF13291.12-140-217|priority=13706
D5ESC4|label=PF13291.12-611-689|priority=13708	D5ESC4|label=PF13291.12-611-689|priority=13708
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A4R5CG23|label=PF13291.12-657-735|priority=13704
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A419T6S6|label=PF13291.12-677-755|priority=13726
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A1I6IRC4|label=PF13291.12-687-765|priority=13720
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A1I0EJU3|label=PF13291.12-691-769|priority=13714
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A939RTT8|label=PF13291.12-682-760|priority=13698
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A919M4R3|label=PF13291.12-736-814|priority=13703
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A383S2Y3|label=PF13291.12-705-782|priority=13721
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A7G8W0M7|label=PF13291.12-667-746|priority=13699
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A5Q2FJ76|label=PF13291.12-662-740|priority=13705
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A4Y8KTV9|label=PF13291.12-668-746|priority=13711
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A7Z2VXI8|label=PF13291.12-665-744|priority=13724
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A6L4X3B9|label=PF13291.12-684-762|priority=13701
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A545U3N9|label=PF13291.12-665-744|priority=13710
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A3N2QRM3|label=PF13291.12-663-742|priority=13700
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A511AWV4|label=PF13291.12-683-761|priority=13712
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A944IMB1|label=PF13291.12-640-713|priority=13713
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A7M3M454|label=PF13291.12-680-758|priority=13719
D5ESC4|label=PF13291.12-611-689|priority=13708	D0LCN2|label=PF13291.12-707-785|priority=13716
D5ESC4|label=PF13291.12-611-689|priority=13708	R9K3G4|label=PF13291.12-687-765|priority=13718
D5ESC4|label=PF13291.12-611-689|priority=13708	R5VR22|label=PF13291.12-693-771|priority=13730
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A134CA21|label=PF13291.12-701-779|priority=13735
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A518RG47|label=PF13291.12-618-694|priority=13722
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A6N8IYZ7|label=PF13291.12-656-733|priority=13725
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A930UQU4|label=PF13291.12-661-740|priority=13709
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A160N575|label=PF13291.12-626-705|priority=13717
D5ESC4|label=PF13291.12-611-689|priority=13708	F5S4M4|label=PF13291.12-647-724|priority=13728
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A7W9FDW5|label=PF13291.12-637-714|priority=13727
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A1G8N0C0|label=PF13291.12-619-697|priority=13733
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A1I4QVT3|label=PF13291.12-631-708|priority=13734
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A8J6QV93|label=PF13291.12-621-699|priority=13729
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A3R8VTL8|label=PF13291.12-621-698|priority=13732
D5ESC4|label=PF13291.12-611-689|priority=13708	A0A545TZB8|label=PF13291.12-625-702|priority=13697
A0A2H5YI32|label=PF13291.12-3-77|priority=13715	A0A2H5YI32|label=PF13291.12-3-77|priority=13715
A0A2H5YI32|label=PF13291.12-3-77|priority=13715	A0A2A8D2D0|label=PF13291.12-10-85|priority=13707
A0A1I2M3L2|label=PF13291.12-325-395|priority=13723	A0A1I2M3L2|label=PF13291.12-325-395|priority=13723
A0A1I2M3L2|label=PF13291.12-325-395|priority=13723	A0A511D7E9|label=PF01842.31-336-403|priority=13225
A0A0S2E0E9|label=PF13710.12-11-72|priority=13737	A0A0S2E0E9|label=PF13710.12-11-72|priority=13737
A0A0S2E0E9|label=PF13710.12-11-72|priority=13737	A0A5C5TVH4|label=PF13710.12-11-72|priority=13750
A0A0S2E0E9|label=PF13710.12-11-72|priority=13737	A0A974Y1B8|label=PF13710.12-11-72|priority=13757
A0A2U9INL0|label=PF13710.12-14-75|priority=13745	A0A2U9INL0|label=PF13710.12-14-75|priority=13745
A0A2U9INL0|label=PF13710.12-14-75|priority=13745	A0A031LU57|label=PF13710.12-14-75|priority=13743
Q0AT06|label=PF13710.12-11-74|priority=13747	Q0AT06|label=PF13710.12-11-74|priority=13747
A0A5J4KSH7|label=PF13710.12-32-94|priority=13748	A0A5J4KSH7|label=PF13710.12-32-94|priority=13748
A0A0L0ASS4|label=PF13710.12-13-73|priority=13749	A0A0L0ASS4|label=PF13710.12-13-73|priority=13749
A0A0L0ASS4|label=PF13710.12-13-73|priority=13749	A0A0H3ENF1|label=PF13710.12-12-72|priority=13756
A0A0L0ASS4|label=PF13710.12-13-73|priority=13749	A0A0Q4N932|label=PF13710.12-12-73|priority=13761
A0A0L0ASS4|label=PF13710.12-13-73|priority=13749	Q329U8|label=PF13710.12-13-73|priority=13762
A0A0L0ASS4|label=PF13710.12-13-73|priority=13749	A0A0U5KWM3|label=PF13710.12-12-73|priority=13768
A0A0L0ASS4|label=PF13710.12-13-73|priority=13749	A0A8E3MGB2|label=PF13710.12-12-71|priority=13736
A0A0L0ASS4|label=PF13710.12-13-73|priority=13749	J7TG91|label=PF13710.12-12-75|priority=13773
A0A0L0ASS4|label=PF13710.12-13-73|priority=13749	A0A0Q0IP09|label=PF13710.12-11-71|priority=13753
A0A0L0ASS4|label=PF13710.12-13-73|priority=13749	A0A4R2FIL4|label=PF13710.12-11-71|priority=13759
